sorgu,beklenen_kaynak,kategori,sonuc,chunk_sayisi
Trakya bölgesinde ayçiçeği sulama takvimi nedir?,Edirne Destekleme Sulama / Trakya_Sulama_Aycicegi.pdf,sulama,BAŞARILI,2
Buğdayda sarı pas hastalığı belirtileri ve mücadelesi,Hastalık kategorisi PDF'leri,hastalık,BAŞARILI,2
BBCH 60-69 evresi nedir buğdayda?,BBCH fenolojik skala referansı,bbch,BAŞARILI,2
Ayçiçeğinde mildiyö hangi koşullarda oluşur?,Hastalık PDF'leri / BARI veri seti açıklaması,hastalık,BAŞARILI,2
Trakya toprak pH değeri buğday için uygun mu?,TR Bakanlık rehberleri / SoilGrids verisi,toprak,BAŞARILI,2
GDD birikimi buğday başaklanması için ne kadar olmalı?,gdd_bugday_fenoloji.txt,gdd,BAŞARILI,2
NDVI 0.3 altına düşerse ne anlama gelir?,ndvi_yorumlama_ve_verim.txt,ndvi,BAŞARILI,2
Trakya'da buğday ekim zamanı ne zaman?,trakya_bugday_tam_rehber.txt / TR Bakanlık,ekim_hasat,BAŞARILI,2
Ayçiçeğinde Kc değeri çiçeklenme döneminde kaçtır?,FAO Irrigation Paper / sulama rehberi,sulama,BAŞARILI,2
TR21 Bölge Planı iklim değişikliği öngörüleri,TR21_Bolge_Plani_2024_2028.pdf,bölgesel,BAŞARILI,2
